Home,Away,Home_Score,Away_Score,Home_B2B,Away_B2B
Celtics,Thunder,,,False,False
Thunder,Knicks,,,False,False
Knicks,Heat,,,False,True
Heat,Nuggets,,,False,False
Nuggets,Spurs,,,False,True
Spurs,Mavericks,,,False,False
Mavericks,76ers,,,True,True
76ers,Timberwolves,,,False,False
Timberwolves,Bucks,,,False,False
Bucks,Pacers,,,False,False
Pacers,Cavaliers,,,False,True
Cavaliers,Pelicans,,,True,True
Pelicans,Suns,,,True,False
Suns,Magic,,,False,False
Magic,Lakers,,,False,False
Lakers,Kings,,,False,False
Kings,Warriors,,,True,False
Warriors,Rockets,,,False,False
Rockets,Clippers,,,False,False
Clippers,Grizzlies,,,False,False
Grizzlies,Hawks,,,False,False
Hawks,Bulls,,,False,True
Bulls,Jazz,,,False,False
Jazz,Nets,,,False,False
Nets,Raptors,,,True,False
Raptors,Trail Blazers,,,False,False
Trail Blazers,Hornets,,,False,False
Hornets,Pistons,,,False,False
Pistons,Wizards,,,False,False
Wizards,Celtics,,,False,False
Celtics,Knicks,,,False,False
Thunder,Heat,,,False,False
Knicks,Nuggets,,,False,False
Heat,Spurs,,,True,False
Nuggets,Mavericks,,,False,True
Spurs,76ers,,,False,False
Mavericks,Timberwolves,,,False,False
76ers,Bucks,,,False,False
Timberwolves,Pacers,,,False,False
Bucks,Cavaliers,,,False,False
Pacers,Pelicans,,,False,False
Cavaliers,Suns,,,False,False
Pelicans,Magic,,,False,False
Suns,Lakers,,,False,False
Magic,Kings,,,False,False
Lakers,Warriors,,,False,False
Kings,Rockets,,,False,False
Warriors,Clippers,,,False,False
Rockets,Grizzlies,,,False,False
Clippers,Hawks,,,True,False
Grizzlies,Bulls,,,True,False
Hawks,Jazz,,,False,False
Bulls,Nets,,,False,True
Jazz,Raptors,,,False,False
Nets,Trail Blazers,,,False,True
Raptors,Hornets,,,True,False
Trail Blazers,Pistons,,,False,False
Hornets,Wizards,,,True,False
Pistons,Celtics,,,False,False
Wizards,Thunder,,,True,False
Celtics,Heat,,,False,False
Thunder,Nuggets,,,False,False
Knicks,Spurs,,,False,False
Heat,Mavericks,,,False,False
Nuggets,76ers,,,False,False
Spurs,Timberwolves,,,False,True
Mavericks,Bucks,,,False,False
76ers,Pacers,,,False,False
Timberwolves,Cavaliers,,,False,False
Bucks,Pelicans,,,False,False
Pacers,Suns,,,False,False
Cavaliers,Magic,,,False,False
Pelicans,Lakers,,,False,False
Suns,Kings,,,False,False
Magic,Warriors,,,False,False
Lakers,Rockets,,,False,True
Kings,Clippers,,,True,False
Warriors,Grizzlies,,,False,False
Rockets,Hawks,,,False,False
Clippers,Bulls,,,False,False
Grizzlies,Jazz,,,False,True
Hawks,Nets,,,False,False
Bulls,Raptors,,,False,True
Jazz,Trail Blazers,,,False,False
Nets,Hornets,,,False,False
Raptors,Pistons,,,False,False
Trail Blazers,Wizards,,,False,False
Hornets,Celtics,,,False,True
Pistons,Thunder,,,True,True
Wizards,Knicks,,,False,False
Celtics,Nuggets,,,False,False
Thunder,Spurs,,,False,True
Knicks,Mavericks,,,False,False
Heat,76ers,,,False,False
Nuggets,Timberwolves,,,False,False
Spurs,Bucks,,,False,False
Mavericks,Pacers,,,False,False
76ers,Cavaliers,,,False,False
Timberwolves,Pelicans,,,False,True
Bucks,Suns,,,True,False
Pacers,Magic,,,False,False
Cavaliers,Lakers,,,False,True
Pelicans,Kings,,,True,False
Suns,Warriors,,,False,False
Magic,Rockets,,,False,False
Lakers,Clippers,,,False,False
Kings,Grizzlies,,,True,False
Warriors,Hawks,,,False,False
Rockets,Bulls,,,False,False
Clippers,Jazz,,,False,False
Grizzlies,Nets,,,False,False
Hawks,Raptors,,,False,False
Bulls,Trail Blazers,,,False,False
Jazz,Hornets,,,False,False
Nets,Pistons,,,False,False
Raptors,Wizards,,,False,False
Trail Blazers,Celtics,,,False,True
Hornets,Thunder,,,False,False
Pistons,Knicks,,,False,False
Wizards,Heat,,,False,False
Celtics,Spurs,,,False,False
Thunder,Mavericks,,,False,True
Knicks,76ers,,,False,False
Heat,Timberwolves,,,False,False
Nuggets,Bucks,,,False,False
Spurs,Pacers,,,False,False
Mavericks,Cavaliers,,,False,False
76ers,Pelicans,,,False,False
Timberwolves,Suns,,,False,False
Bucks,Magic,,,False,True
Pacers,Lakers,,,False,True
Cavaliers,Kings,,,False,True
Pelicans,Warriors,,,False,False
Suns,Rockets,,,True,False
Magic,Clippers,,,False,False
Lakers,Grizzlies,,,False,False
Kings,Hawks,,,False,False
Warriors,Bulls,,,False,False
Rockets,Jazz,,,False,False
Clippers,Nets,,,False,False
Grizzlies,Raptors,,,False,False
Hawks,Trail Blazers,,,False,False
Bulls,Hornets,,,False,False
Jazz,Pistons,,,False,False
Nets,Wizards,,,True,False
Raptors,Celtics,,,False,True
Trail Blazers,Thunder,,,True,True
Hornets,Knicks,,,False,False
Pistons,Heat,,,False,False
Wizards,Nuggets,,,False,True
Celtics,Mavericks,,,False,True
Thunder,76ers,,,False,False
Knicks,Timberwolves,,,False,False
Heat,Bucks,,,False,False
Nuggets,Pacers,,,False,True
Spurs,Cavaliers,,,False,False
Mavericks,Pelicans,,,False,False
76ers,Suns,,,False,False
Timberwolves,Magic,,,False,False
Bucks,Lakers,,,True,True
Pacers,Kings,,,False,False
Cavaliers,Warriors,,,False,False
Pelicans,Rockets,,,False,False
Suns,Clippers,,,False,False
Magic,Grizzlies,,,False,True
Lakers,Hawks,,,False,False
Kings,Bulls,,,False,False
Warriors,Jazz,,,True,False
Rockets,Nets,,,True,True
Clippers,Raptors,,,False,False
Grizzlies,Trail Blazers,,,True,False
Hawks,Hornets,,,True,False
Bulls,Pistons,,,True,False
Jazz,Wizards,,,False,False
Nets,Celtics,,,False,False
Raptors,Thunder,,,False,False
Trail Blazers,Knicks,,,False,False
Hornets,Heat,,,False,False
Pistons,Nuggets,,,False,False
Wizards,Spurs,,,False,False
Celtics,76ers,,,False,False
Thunder,Timberwolves,,,False,False
Knicks,Bucks,,,True,False
Heat,Pacers,,,True,True
Nuggets,Cavaliers,,,False,False
Spurs,Pelicans,,,False,False
Mavericks,Suns,,,False,False
76ers,Magic,,,False,True
Timberwolves,Lakers,,,False,True
Bucks,Kings,,,False,False
Pacers,Warriors,,,False,False
Cavaliers,Rockets,,,False,False
Pelicans,Clippers,,,False,True
Suns,Grizzlies,,,False,False
Magic,Hawks,,,True,False
Lakers,Bulls,,,True,False
Kings,Jazz,,,True,True
Warriors,Nets,,,False,False
Rockets,Raptors,,,False,False
Clippers,Trail Blazers,,,True,False
Grizzlies,Hornets,,,False,False
Hawks,Pistons,,,True,False
Bulls,Wizards,,,False,True
Jazz,Celtics,,,True,True
Nets,Thunder,,,False,False
Raptors,Knicks,,,False,False
Trail Blazers,Heat,,,False,False
Hornets,Nuggets,,,True,False
Pistons,Spurs,,,False,False
Wizards,Mavericks,,,False,True
Celtics,Timberwolves,,,False,False
