Team,net_rtg,pace,Ringer_x,Yahoo_x,media_rank,Ringer_y,Yahoo_y
Hawks,2.2,102.5,14,15.0,14.5,14,15.0
Celtics,8.3,95.58,4,9.0,6.5,4,9.0
Nets,-10.0,97.6,24,26.0,25.0,24,26.0
Hornets,4.9,97.59,18,16.0,17.0,18,16.0
Bulls,-5.3,103.22,27,25.0,26.0,27,25.0
Cavaliers,4.1,100.7,12,11.0,11.5,12,11.0
Mavericks,-5.2,102.62,23,17.0,20.0,23,17.0
Nuggets,5.2,99.49,8,8.0,8.0,8,8.0
Pistons,8.4,99.88,7,13.0,10.0,7,13.0
Warriors,-0.5,100.05,22,22.0,22.0,22,22.0
Rockets,5.4,96.98,5,12.0,8.5,5,12.0
Pacers,-7.8,101.78,13,14.0,13.5,13,14.0
Clippers,1.1,97.29,26,28.0,27.0,26,28.0
Lakers,1.5,99.22,9,6.0,7.5,9,6.0
Grizzlies,-6.0,101.69,25,24.0,24.5,25,24.0
Heat,2.1,104.22,17,7.0,12.0,17,7.0
Bucks,-6.1,98.33,29,29.0,29.0,29,29.0
Timberwolves,3.1,101.5,11,5.0,8.0,11,5.0
Pelicans,-4.4,101.37,20,27.0,23.5,20,27.0
Knicks,6.4,97.71,2,3.0,2.5,2,3.0
Thunder,11.1,100.37,3,1.0,2.0,3,1.0
Magic,0.6,100.56,15,19.0,17.0,15,19.0
76ers,-0.1,100.39,10,4.0,7.0,10,4.0
Suns,1.4,98.14,19,20.0,19.5,19,20.0
Trail Blazers,-0.4,101.63,21,18.0,19.5,21,18.0
Kings,-9.7,100.12,30,30.0,30.0,30,30.0
Spurs,8.4,100.72,1,2.0,1.5,1,2.0
Raptors,2.9,99.22,6,10.0,8.0,6,10.0
Jazz,-8.2,103.54,16,21.0,18.5,16,21.0
Wizards,-11.8,102.49,28,23.0,25.5,28,23.0
